Ingredient List,Allergens
"lecithin, pollock, high-fructose corn syrup, peanut flour, hydrolyzed soy protein","['Peanuts', 'Fish', 'Soy']"
"dried egg yolk, high-fructose corn syrup, crab flavoring, artificial sweeteners, wheat flour","['Shellfish', 'Gluten', 'Eggs']"
"soy lecithin, barley malt, natural flavors","['Gluten', 'Soy']"
"peanut flour, modified corn starch",['Peanuts']
"anchovy paste, natural flavors",['Fish']
"palm oil, wheat flour, whole eggs, shrimp extract","['Shellfish', 'Gluten', 'Eggs']"
"caramel coloring, artificial sweeteners",['General Allergen']
"natural flavors, shrimp extract, peanut flour, palm oil","['Shellfish', 'Peanuts']"
"casein, high-fructose corn syrup, peanut oil, artificial sweeteners, shrimp extract","['Shellfish', 'Milk', 'Peanuts']"
"wheat flour, fish sauce, peanut flour, high-fructose corn syrup, natural flavors","['Peanuts', 'Gluten', 'Fish']"
"artificial sweeteners, walnut pieces, crab flavoring, lecithin","['Shellfish', 'Tree Nuts']"
"modified corn starch, egg whites, lecithin",['Eggs']
"ground peanuts, high-fructose corn syrup, rye bread, crab flavoring","['Shellfish', 'Gluten', 'Peanuts']"
"crab flavoring, high-fructose corn syrup",['Shellfish']
"natural flavors, high-fructose corn syrup, natural flavors",['General Allergen']
"crab flavoring, artificial sweeteners, high-fructose corn syrup",['Shellfish']
"casein, dried egg yolk, artificial sweeteners","['Milk', 'Eggs']"
"natural flavors, crab flavoring, fish sauce, lecithin","['Shellfish', 'Fish']"
"high-fructose corn syrup, crab flavoring, rye bread, walnut pieces","['Shellfish', 'Gluten', 'Tree Nuts']"
"xanthan gum, palm oil, lobster meat, high-fructose corn syrup","['Shellfish', 'General Allergen']"
"pollock, palm oil, natural flavors",['Fish']
"barley malt, almond extract, modified corn starch","['Gluten', 'Tree Nuts']"
"lecithin, fish sauce, barley malt, palm oil, casein","['Milk', 'Fish', 'Gluten']"
"egg whites, high-fructose corn syrup, artificial sweeteners, crab flavoring, barley malt","['Shellfish', 'Gluten', 'Eggs']"
"hydrolyzed soy protein, shrimp extract, walnut pieces, artificial sweeteners, lecithin","['Shellfish', 'Soy', 'Tree Nuts']"
"artificial sweeteners, almond extract, modified corn starch, casein, natural flavors","['Milk', 'Tree Nuts', 'General Allergen']"
"modified corn starch, dried egg yolk",['Eggs']
"modified corn starch, casein",['Milk']
"high-fructose corn syrup, pollock",['Fish']
"xanthan gum, ground peanuts, natural flavors, shrimp extract","['Shellfish', 'Peanuts', 'General Allergen']"
"artificial sweeteners, lecithin, caramel coloring",['General Allergen']
"lecithin, natural flavors, whole eggs",['Eggs']
"ground peanuts, artificial sweeteners, almond extract","['Peanuts', 'Tree Nuts']"
"milk solids, soybean oil, crab flavoring, lecithin, high-fructose corn syrup","['Shellfish', 'Milk', 'Soy']"
"pollock, artificial sweeteners, natural flavors, xanthan gum","['Fish', 'General Allergen']"
"lecithin, high-fructose corn syrup, whey protein isolate",['Milk']
"whole eggs, almond extract, lecithin, lobster meat","['Shellfish', 'Eggs', 'Tree Nuts']"
"high-fructose corn syrup, modified corn starch, crab flavoring, ground peanuts","['Shellfish', 'Peanuts']"
"natural flavors, soybean oil, caramel coloring","['Soy', 'General Allergen']"
"egg whites, lecithin",['Eggs']
"artificial flavors, anchovy paste, lecithin","['Fish', 'General Allergen']"
"pollock, natural flavors, hazelnut spread, calcium caseinate","['Milk', 'Fish', 'Tree Nuts']"
"almond extract, ground peanuts, palm oil, anchovy paste","['Peanuts', 'Fish', 'Tree Nuts']"
"modified corn starch, artificial sweeteners, anchovy paste",['Fish']
"barley malt, high-fructose corn syrup",['Gluten']
"lecithin, high-fructose corn syrup, peanut oil",['Peanuts']
"hydrolyzed soy protein, hazelnut spread, lecithin, barley malt","['Gluten', 'Soy', 'Tree Nuts']"
"calcium caseinate, almond extract, palm oil, fish sauce","['Milk', 'Fish', 'Tree Nuts']"
"palm oil, peanut flour, almond extract, natural flavors, anchovy paste","['Peanuts', 'Fish', 'Tree Nuts']"
"anchovy paste, palm oil, artificial flavors, peanut flour, modified corn starch","['Peanuts', 'Fish', 'General Allergen']"
"rye bread, artificial sweeteners, milk solids, caramel coloring","['Milk', 'Gluten', 'General Allergen']"
"peanut oil, lecithin, modified corn starch, fish sauce, shrimp extract","['Peanuts', 'Fish', 'Shellfish']"
"palm oil, crab flavoring, artificial flavors, high-fructose corn syrup, peanut oil","['Shellfish', 'Peanuts', 'General Allergen']"
"natural flavors, high-fructose corn syrup, whey protein isolate, crab flavoring","['Shellfish', 'Milk', 'General Allergen']"
"palm oil, hydrolyzed soy protein",['Soy']
"pollock, artificial sweeteners, natural flavors","['Fish', 'General Allergen']"
"soy lecithin, modified corn starch, lecithin",['Soy']
"peanut oil, modified corn starch",['Peanuts']
"hazelnut spread, palm oil",['Tree Nuts']
"soy lecithin, natural flavors, lobster meat, caramel coloring","['Shellfish', 'Soy', 'General Allergen']"
"palm oil, natural flavors, natural flavors",['General Allergen']
"high-fructose corn syrup, barley malt",['Gluten']
"peanut flour, hydrolyzed soy protein, modified corn starch, anchovy paste","['Peanuts', 'Fish', 'Soy']"
"artificial sweeteners, whey protein isolate, anchovy paste","['Milk', 'Fish']"
"whole eggs, barley malt, artificial sweeteners, modified corn starch","['Gluten', 'Eggs']"
"artificial sweeteners, ground peanuts, modified corn starch, barley malt, casein","['Peanuts', 'Milk', 'Gluten']"
"artificial sweeteners, caramel coloring, dried egg yolk","['Eggs', 'General Allergen']"
"high-fructose corn syrup, natural flavors, calcium caseinate",['Milk']
"caramel coloring, shrimp extract, artificial sweeteners","['Shellfish', 'General Allergen']"
"barley malt, lecithin, natural flavors, peanut flour","['Peanuts', 'Gluten']"
"milk solids, artificial sweeteners",['Milk']
"crab flavoring, artificial sweeteners, lecithin, hydrolyzed soy protein, artificial flavors","['Shellfish', 'Soy', 'General Allergen']"
"artificial sweeteners, palm oil, whole eggs, barley malt","['Gluten', 'Eggs']"
"milk solids, hydrolyzed soy protein, lecithin, walnut pieces","['Milk', 'Soy', 'Tree Nuts']"
"casein, crab flavoring, modified corn starch, rye bread, lecithin","['Shellfish', 'Gluten', 'Milk']"
"lecithin, whole eggs, modified corn starch",['Eggs']
"soybean oil, high-fructose corn syrup, pollock","['Fish', 'Soy']"
"soybean oil, lecithin, walnut pieces","['Soy', 'Tree Nuts']"
"soy lecithin, ground peanuts, natural flavors, artificial sweeteners","['Peanuts', 'Soy']"
"modified corn starch, artificial sweeteners, milk solids",['Milk']
"high-fructose corn syrup, wheat flour, hazelnut spread","['Gluten', 'Tree Nuts']"
"lecithin, caramel coloring, lobster meat, palm oil, wheat flour","['Shellfish', 'Gluten', 'General Allergen']"
"artificial sweeteners, high-fructose corn syrup, calcium caseinate",['Milk']
"lobster meat, soybean oil, natural flavors, pollock","['Shellfish', 'Fish', 'Soy']"
"casein, palm oil, soy lecithin, lecithin, caramel coloring","['Milk', 'Soy', 'General Allergen']"
"artificial sweeteners, lecithin, wheat flour",['Gluten']
"palm oil, whole eggs, calcium caseinate","['Milk', 'Eggs']"
"calcium caseinate, artificial sweeteners, artificial flavors","['Milk', 'General Allergen']"
"modified corn starch, xanthan gum, high-fructose corn syrup",['General Allergen']
"palm oil, lecithin, rye bread",['Gluten']
"artificial flavors, natural flavors, lecithin",['General Allergen']
"hydrolyzed soy protein, almond extract, lecithin, casein","['Milk', 'Soy', 'Tree Nuts']"
"wheat flour, high-fructose corn syrup, fish sauce, whole eggs, modified corn starch","['Gluten', 'Fish', 'Eggs']"
"pollock, natural flavors",['Fish']
"high-fructose corn syrup, shrimp extract, calcium caseinate, lecithin, pollock","['Shellfish', 'Milk', 'Fish']"
"artificial sweeteners, peanut flour, modified corn starch, rye bread","['Peanuts', 'Gluten']"
"high-fructose corn syrup, almond extract, palm oil, barley malt","['Gluten', 'Tree Nuts']"
"crab flavoring, barley malt, artificial sweeteners, whey protein isolate","['Shellfish', 'Gluten', 'Milk']"
"barley malt, casein, artificial sweeteners, lobster meat, lecithin","['Shellfish', 'Milk', 'Gluten']"
"modified corn starch, barley malt",['Gluten']
"xanthan gum, peanut flour, natural flavors","['Peanuts', 'General Allergen']"
"artificial sweeteners, lecithin, calcium caseinate, walnut pieces","['Milk', 'Tree Nuts']"
"soy lecithin, rye bread, fish sauce, modified corn starch","['Gluten', 'Fish', 'Soy']"
"almond extract, egg whites, fish sauce, natural flavors","['Fish', 'Eggs', 'Tree Nuts']"
"xanthan gum, modified corn starch",['General Allergen']
"pollock, artificial sweeteners",['Fish']
"soy lecithin, egg whites, walnut pieces, lecithin","['Eggs', 'Soy', 'Tree Nuts']"
"shrimp extract, natural flavors, modified corn starch, hazelnut spread, xanthan gum","['Shellfish', 'Tree Nuts', 'General Allergen']"
"lecithin, pollock, hazelnut spread, palm oil","['Fish', 'Tree Nuts']"
"soy lecithin, modified corn starch, almond extract, artificial sweeteners, pollock","['Fish', 'Soy', 'Tree Nuts']"
"artificial sweeteners, natural flavors, lobster meat",['Shellfish']
"fish sauce, modified corn starch, wheat flour, xanthan gum","['Gluten', 'Fish', 'General Allergen']"
"egg whites, high-fructose corn syrup, anchovy paste, rye bread","['Gluten', 'Fish', 'Eggs']"
"modified corn starch, artificial sweeteners, dried egg yolk",['Eggs']
"artificial sweeteners, hydrolyzed soy protein",['Soy']
"high-fructose corn syrup, anchovy paste, lecithin",['Fish']
"walnut pieces, egg whites, artificial sweeteners, natural flavors","['Eggs', 'Tree Nuts']"
"soy lecithin, whey protein isolate, natural flavors","['Milk', 'Soy']"
"natural flavors, artificial sweeteners, hydrolyzed soy protein, calcium caseinate","['Milk', 'Soy']"
"peanut flour, palm oil",['Peanuts']
"artificial flavors, pollock, lecithin, artificial sweeteners, egg whites","['Fish', 'Eggs', 'General Allergen']"
"modified corn starch, palm oil, peanut oil",['Peanuts']
"xanthan gum, dried egg yolk, lecithin, whey protein isolate, palm oil","['Milk', 'Eggs', 'General Allergen']"
"high-fructose corn syrup, artificial sweeteners, whey protein isolate",['Milk']
"palm oil, xanthan gum, modified corn starch, calcium caseinate, peanut flour","['Peanuts', 'Milk', 'General Allergen']"
"lobster meat, natural flavors, fish sauce","['Shellfish', 'Fish']"
"casein, palm oil, egg whites","['Milk', 'Eggs']"
"lecithin, soy lecithin",['Soy']
"hazelnut spread, peanut oil, artificial sweeteners","['Peanuts', 'Tree Nuts']"
"hazelnut spread, crab flavoring, natural flavors","['Shellfish', 'Tree Nuts']"
"palm oil, egg whites",['Eggs']
"whole eggs, soybean oil, natural flavors","['Soy', 'Eggs']"
"palm oil, high-fructose corn syrup, soy lecithin, egg whites","['Soy', 'Eggs']"
"almond extract, hydrolyzed soy protein, palm oil, shrimp extract, high-fructose corn syrup","['Shellfish', 'Soy', 'Tree Nuts']"
"modified corn starch, soy lecithin, anchovy paste, caramel coloring","['Fish', 'Soy', 'General Allergen']"
"lobster meat, soy lecithin, high-fructose corn syrup, peanut oil","['Peanuts', 'Shellfish', 'Soy']"
"natural flavors, artificial sweeteners",['General Allergen']
"modified corn starch, crab flavoring, walnut pieces","['Shellfish', 'Tree Nuts']"
"lecithin, modified corn starch, hydrolyzed soy protein, crab flavoring","['Shellfish', 'Soy']"
"crab flavoring, palm oil, almond extract","['Shellfish', 'Tree Nuts']"
"almond extract, milk solids, high-fructose corn syrup, barley malt","['Gluten', 'Tree Nuts', 'Milk']"
"anchovy paste, modified corn starch, soybean oil","['Fish', 'Soy']"
"palm oil, whole eggs, hazelnut spread, pollock","['Fish', 'Tree Nuts', 'Eggs']"
"barley malt, casein, palm oil, natural flavors","['Gluten', 'Milk']"
"high-fructose corn syrup, almond extract, crab flavoring, xanthan gum, artificial sweeteners","['Shellfish', 'Tree Nuts', 'General Allergen']"
"natural flavors, soy lecithin, wheat flour","['Gluten', 'Soy']"
"walnut pieces, whole eggs, modified corn starch, natural flavors","['Eggs', 'Tree Nuts']"
"dried egg yolk, palm oil, fish sauce, hydrolyzed soy protein","['Fish', 'Soy', 'Eggs']"
"lecithin, palm oil, hazelnut spread",['Tree Nuts']
"caramel coloring, peanut oil, high-fructose corn syrup, calcium caseinate, natural flavors","['Peanuts', 'Milk', 'General Allergen']"
"palm oil, fish sauce, xanthan gum, peanut oil","['Peanuts', 'Fish', 'General Allergen']"
"modified corn starch, artificial sweeteners, ground peanuts",['Peanuts']
"xanthan gum, lecithin",['General Allergen']
"shrimp extract, walnut pieces, natural flavors, peanut flour","['Shellfish', 'Tree Nuts', 'Peanuts']"
